4.271301269531250000e+01;2.677618408203125000e+02;4.600434570312500000e+02;2.888038330078125000e+02
4.271301269531250000e+01;2.877598266601562500e+02;4.426916503906250000e+02;3.088018188476562500e+02
4.271301269531250000e+01;3.077578125000000000e+02;4.358151855468750000e+02;3.287998046875000000e+02
4.271301269531250000e+01;3.277557983398437500e+02;4.625092773437500000e+02;3.487977905273437500e+02
4.271301269531250000e+01;3.477537841796875000e+02;4.696193847656250000e+02;3.687957763671875000e+02
4.271301269531250000e+01;3.677517700195312500e+02;3.632028808593750000e+02;3.887937622070312500e+02
4.271313476562500000e+01;4.683360595703125000e+02;1.309571838378906250e+02;5.302160644531250000e+02
4.271313476562500000e+01;5.236120605468750000e+02;2.186909332275390625e+02;5.370870361328125000e+02
2.786973876953125000e+02;4.683360595703125000e+02;4.148335266113281250e+02;5.302160644531250000e+02
2.786973876953125000e+02;5.236120605468750000e+02;4.616158142089843750e+02;5.370870361328125000e+02
4.271313476562500000e+01;5.618793945312500000e+02;1.640811614990234375e+02;6.237593994140625000e+02
1.628051757812500000e+02;5.769193725585937500e+02;2.407812500000000000e+02;6.197593994140625000e+02
4.271313476562500000e+01;6.171553955078125000e+02;1.791679534912109375e+02;6.306303710937500000e+02
2.786973876953125000e+02;5.618793945312500000e+02;4.691734924316406250e+02;6.237593994140625000e+02
4.679018554687500000e+02;5.769193725585937500e+02;5.458779296875000000e+02;6.197593994140625000e+02
5.458984375000000000e+02;5.618793945312500000e+02;5.617584228515625000e+02;6.237593994140625000e+02
2.786975097656250000e+02;6.171553955078125000e+02;3.750244750976562500e+02;6.306303710937500000e+02
4.271313476562500000e+01;6.554226684570312500e+02;2.087492980957031250e+02;7.173026733398437500e+02
2.066823730468750000e+02;6.704626464843750000e+02;2.282823791503906250e+02;7.133026733398437500e+02
4.271313476562500000e+01;7.106986694335937500e+02;1.368180541992187500e+02;7.241736450195312500e+02
2.786973876953125000e+02;6.554226684570312500e+02;4.132733459472656250e+02;7.173026733398437500e+02
4.120026855468750000e+02;6.704626464843750000e+02;4.859827880859375000e+02;7.133026733398437500e+02
2.786973876953125000e+02;7.106986694335937500e+02;4.624077758789062500e+02;7.241736450195312500e+02
